CRVUSDT,HFTUSDT
"[1672589700000, '0.521', '0.522', '0.521', '0.522', '248982.3', 1672590599999, '129877.1688', 531, '157390.5', '82157.8410', '0']","[1680869700000, '0.6150000', '0.6166000', '0.6124000', '0.6157000', '196620', 1680870599999, '120864.0791000', 766, '92740', '57012.1198000', '0']"
"[1672590600000, '0.521', '0.523', '0.521', '0.522', '576293.1', 1672591499999, '300819.5613', 525, '270701.1', '141347.1769', '0']","[1680870600000, '0.6156000', '0.6186000', '0.6122000', '0.6155000', '369318', 1680871499999, '227281.7350000', 1699, '159248', '98014.5998000', '0']"
"[1672591500000, '0.522', '0.523', '0.521', '0.522', '400940.2', 1672592399999, '209258.5797', 448, '330643.0', '172622.1686', '0']","[1680871500000, '0.6155000', '0.6163000', '0.6124000', '0.6126000', '187857', 1680872399999, '115444.3287000', 1024, '75529', '46414.4529000', '0']"
"[1672592400000, '0.523', '0.523', '0.521', '0.521', '387510.1', 1672593299999, '202274.4199', 437, '102314.9', '53426.1487', '0']","[1680872400000, '0.6126000', '0.6131000', '0.6077000', '0.6101000', '518856', 1680873299999, '316494.1449000', 1791, '185444', '113141.7200000', '0']"
"[1672593300000, '0.522', '0.524', '0.521', '0.523', '1781171.6', 1672594199999, '930702.5832', 1101, '1027131.6', '536740.6874', '0']","[1680873300000, '0.6100000', '0.6153000', '0.6081000', '0.6098000', '367742', 1680874199999, '224778.0568000', 1337, '196335', '120047.7440000', '0']"
"[1672594200000, '0.523', '0.524', '0.522', '0.523', '1003574.0', 1672595099999, '524678.3106', 776, '578280.6', '302440.8538', '0']","[1680874200000, '0.6098000', '0.6126000', '0.6088000', '0.6117000', '160610', 1680875099999, '98040.7125000', 584, '107044', '65338.4556000', '0']"
"[1672595100000, '0.523', '0.523', '0.522', '0.523', '106093.2', 1672595999999, '55413.5827', 285, '32932.3', '17223.5929', '0']","[1680875100000, '0.6111000', '0.6123000', '0.6091000', '0.6118000', '139524', 1680875999999, '85173.1730000', 627, '87902', '53675.5703000', '0']"
"[1672596000000, '0.522', '0.524', '0.522', '0.524', '1532017.3', 1672596899999, '801368.6675', 1151, '959292.2', '501906.4117', '0']","[1680876000000, '0.6117000', '0.6160000', '0.6107000', '0.6152000', '241250', 1680876899999, '148137.5745000', 800, '139164', '85451.0014000', '0']"
"[1672596900000, '0.524', '0.526', '0.523', '0.526', '1505010.8', 1672597799999, '790048.4262', 1501, '1148830.3', '603280.5244', '0']","[1680876900000, '0.6153000', '0.6182000', '0.6134000', '0.6166000', '182440', 1680877799999, '112266.7093000', 846, '106010', '65272.2968000', '0']"
"[1672597800000, '0.526', '0.526', '0.524', '0.526', '738292.2', 1672598699999, '387694.7865', 666, '302248.7', '158783.7429', '0']","[1680877800000, '0.6162000', '0.6181000', '0.6143000', '0.6150000', '149614', 1680878699999, '92148.9677000', 648, '61687', '38005.5659000', '0']"
"[1672598700000, '0.526', '0.526', '0.524', '0.524', '309301.7', 1672599599999, '162341.7685', 380, '72676.3', '38160.4387', '0']","[1680878700000, '0.6151000', '0.6166000', '0.6125000', '0.6130000', '122477', 1680879599999, '75257.7281000', 455, '46925', '28851.8942000', '0']"
"[1672599600000, '0.525', '0.526', '0.524', '0.524', '487587.0', 1672600499999, '255913.3357', 590, '295080.6', '154917.4681', '0']","[1680879600000, '0.6131000', '0.6167000', '0.6131000', '0.6163000', '166995', 1680880499999, '102699.8114000', 674, '84069', '51724.9315000', '0']"
"[1672600500000, '0.525', '0.526', '0.524', '0.525', '1153500.3', 1672601399999, '605568.6949', 675, '583979.5', '306610.3696', '0']","[1680880500000, '0.6162000', '0.6184000', '0.6160000', '0.6174000', '225217', 1680881399999, '138926.7541000', 655, '134961', '83270.0576000', '0']"
"[1672601400000, '0.524', '0.526', '0.524', '0.526', '516636.1', 1672602299999, '271277.7948', 446, '314585.5', '165224.5712', '0']","[1680881400000, '0.6173000', '0.6179000', '0.6150000', '0.6162000', '197976', 1680882299999, '121996.7886000', 592, '84582', '52144.9818000', '0']"
"[1672602300000, '0.526', '0.526', '0.525', '0.526', '781479.4', 1672603199999, '410984.2686', 539, '532343.3', '280012.5758', '0']","[1680882300000, '0.6161000', '0.6176000', '0.6152000', '0.6160000', '100302', 1680883199999, '61818.2275000', 541, '36866', '22730.9786000', '0']"
"[1672603200000, '0.526', '0.527', '0.525', '0.525', '741264.4', 1672604099999, '389890.9785', 630, '283911.2', '149357.2920', '0']","[1680883200000, '0.6160000', '0.6208000', '0.6157000', '0.6176000', '382220', 1680884099999, '236332.7783000', 1195, '207556', '128412.7695000', '0']"
"[1672604100000, '0.526', '0.527', '0.525', '0.525', '1039560.2', 1672604999999, '546817.2352', 727, '516445.8', '271688.7349', '0']","[1680884100000, '0.6176000', '0.6190000', '0.6138000', '0.6181000', '238435', 1680884999999, '146979.6981000', 719, '123852', '76371.7774000', '0']"
"[1672605000000, '0.526', '0.527', '0.525', '0.526', '475864.0', 1672605899999, '250360.7491', 697, '191923.3', '101016.4324', '0']","[1680885000000, '0.6180000', '0.6187000', '0.6157000', '0.6158000', '129504', 1680885899999, '79953.5855000', 478, '59674', '36863.9134000', '0']"
"[1672605900000, '0.525', '0.526', '0.525', '0.526', '117329.4', 1672606799999, '61659.0885', 253, '61153.5', '32166.7410', '0']","[1680885900000, '0.6158000', '0.6160000', '0.6131000', '0.6141000', '204618', 1680886799999, '125757.6671000', 853, '64617', '39732.3058000', '0']"
"[1672606800000, '0.525', '0.526', '0.523', '0.525', '631459.5', 1672607699999, '331106.2882', 762, '268623.9', '140847.0941', '0']","[1680886800000, '0.6133000', '0.6152000', '0.6130000', '0.6133000', '90895', 1680887699999, '55821.4624000', 427, '33146', '20367.0423000', '0']"
"[1672607700000, '0.524', '0.525', '0.524', '0.525', '80211.4', 1672608599999, '42075.4977', 215, '44724.1', '23480.1525', '0']","[1680887700000, '0.6138000', '0.6164000', '0.6134000', '0.6151000', '142248', 1680888599999, '87524.0415000', 855, '67363', '41465.0175000', '0']"
"[1672608600000, '0.525', '0.527', '0.524', '0.526', '1215467.0', 1672609499999, '638589.1843', 937, '764891.9', '401936.9928', '0']","[1680888600000, '0.6153000', '0.6176000', '0.6144000', '0.6172000', '115978', 1680889499999, '71486.5452000', 596, '74637', '46021.6316000', '0']"
"[1672609500000, '0.526', '0.527', '0.525', '0.525', '366884.1', 1672610399999, '192914.8334', 342, '131725.4', '69289.1162', '0']","[1680889500000, '0.6172000', '0.6177000', '0.6151000', '0.6161000', '132906', 1680890399999, '81900.6806000', 561, '73944', '45578.8783000', '0']"
"[1672610400000, '0.526', '0.528', '0.526', '0.526', '924882.4', 1672611299999, '487253.4363', 853, '597059.9', '314599.4319', '0']","[1680890400000, '0.6161000', '0.6175000', '0.6130000', '0.6162000', '211694', 1680891299999, '130276.6886000', 771, '109320', '67286.3509000', '0']"
"[1672611300000, '0.526', '0.527', '0.526', '0.527', '278565.0', 1672612199999, '146665.0094', 427, '139819.4', '73684.8238', '0']","[1680891300000, '0.6162000', '0.6163000', '0.6137000', '0.6157000', '93061', 1680892199999, '57228.6150000', 457, '27071', '16660.0660000', '0']"
"[1672612200000, '0.527', '0.528', '0.526', '0.528', '1172935.2', 1672613099999, '618272.5629', 722, '721655.3', '380523.0363', '0']","[1680892200000, '0.6158000', '0.6159000', '0.6122000', '0.6128000', '154286', 1680893099999, '94754.6036000', 572, '38774', '23836.0808000', '0']"
"[1672613100000, '0.527', '0.528', '0.525', '0.526', '690529.1', 1672613999999, '363608.1719', 671, '297287.1', '156555.9825', '0']","[1680893100000, '0.6126000', '0.6133000', '0.6105000', '0.6127000', '193779', 1680893999999, '118585.5833000', 596, '60227', '36878.5411000', '0']"
"[1672614000000, '0.526', '0.528', '0.525', '0.528', '1303680.5', 1672614899999, '685938.4331', 774, '714224.3', '375873.9791', '0']","[1680894000000, '0.6127000', '0.6132000', '0.6106000', '0.6125000', '141697', 1680894899999, '86757.7295000', 437, '80726', '49441.7615000', '0']"
"[1672614900000, '0.527', '0.528', '0.525', '0.525', '772199.4', 1672615799999, '406755.6932', 893, '188397.6', '99442.1114', '0']","[1680894900000, '0.6126000', '0.6140000', '0.6099000', '0.6100000', '220973', 1680895799999, '135173.5783000', 660, '85302', '52243.1387000', '0']"
"[1672615800000, '0.526', '0.527', '0.525', '0.527', '912449.7', 1672616699999, '480027.7348', 562, '542559.2', '285561.7018', '0']","[1680895800000, '0.6100000', '0.6124000', '0.6071000', '0.6122000', '314637', 1680896699999, '191818.9578000', 1346, '119299', '72824.3897000', '0']"
"[1672616700000, '0.527', '0.527', '0.525', '0.527', '493157.2', 1672617599999, '259378.8191', 431, '276479.5', '145435.7397', '0']","[1680896700000, '0.6121000', '0.6123000', '0.6089000', '0.6116000', '293038', 1680897599999, '178943.0523000', 1367, '127902', '78151.3867000', '0']"
"[1672617600000, '0.527', '0.527', '0.526', '0.527', '340589.2', 1672618499999, '179407.7833', 440, '257864.1', '135894.3807', '0']","[1680897600000, '0.6117000', '0.6140000', '0.6104000', '0.6139000', '194230', 1680898499999, '118892.7883000', 789, '115498', '70712.2031000', '0']"
"[1672618500000, '0.527', '0.527', '0.525', '0.527', '1027497.1', 1672619399999, '540522.6641', 892, '505473.9', '265967.4393', '0']","[1680898500000, '0.6139000', '0.6156000', '0.6116000', '0.6156000', '299988', 1680899399999, '184155.0863000', 1305, '134074', '82355.1848000', '0']"
"[1672619400000, '0.527', '0.528', '0.525', '0.527', '1266130.8', 1672620299999, '666725.3759', 789, '615212.3', '323993.1834', '0']","[1680899400000, '0.6153000', '0.6156000', '0.6116000', '0.6133000', '248992', 1680900299999, '152713.7226000', 974, '92175', '56537.7217000', '0']"
"[1672620300000, '0.526', '0.527', '0.524', '0.525', '959229.2', 1672621199999, '503800.9348', 821, '276744.6', '145378.5486', '0']","[1680900300000, '0.6135000', '0.6145000', '0.6115000', '0.6131000', '167739', 1680901199999, '102873.9774000', 766, '89133', '54672.4528000', '0']"
"[1672621200000, '0.524', '0.525', '0.521', '0.524', '7410909.3', 1672622099999, '3875464.6329', 2842, '3868077.3', '2022816.3627', '0']","[1680901200000, '0.6131000', '0.6131000', '0.6073000', '0.6121000', '616188', 1680902099999, '376448.0739000', 2089, '314264', '192139.8312000', '0']"
"[1672622100000, '0.524', '0.524', '0.520', '0.523', '2256255.2', 1672622999999, '1177239.6717', 1242, '901314.4', '470285.5509', '0']","[1680902100000, '0.6120000', '0.6144000', '0.6118000', '0.6132000', '182110', 1680902999999, '111674.4936000', 713, '93135', '57116.4676000', '0']"
"[1672623000000, '0.522', '0.523', '0.521', '0.521', '902757.8', 1672623899999, '471057.3107', 583, '278236.3', '145244.0594', '0']","[1680903000000, '0.6137000', '0.6141000', '0.6106000', '0.6124000', '226687', 1680903899999, '138751.1985000', 1095, '105841', '64809.4077000', '0']"
"[1672623900000, '0.521', '0.522', '0.520', '0.521', '855907.3', 1672624799999, '445752.4193', 462, '266265.2', '138745.9735', '0']","[1680903900000, '0.6124000', '0.6132000', '0.6107000', '0.6123000', '118645', 1680904799999, '72626.2538000', 741, '63195', '38700.9666000', '0']"
"[1672624800000, '0.521', '0.521', '0.519', '0.520', '1584784.6', 1672625699999, '823897.4270', 1204, '640563.2', '333097.3267', '0']","[1680904800000, '0.6124000', '0.6149000', '0.6121000', '0.6143000', '291809', 1680905699999, '179038.7927000', 1037, '117891', '72352.3237000', '0']"
"[1672625700000, '0.521', '0.522', '0.520', '0.521', '553389.0', 1672626599999, '288173.3471', 581, '388375.1', '202352.9359', '0']","[1680905700000, '0.6143000', '0.6158000', '0.6128000', '0.6143000', '285054', 1680906599999, '175170.6474000', 1095, '146293', '89924.8518000', '0']"
"[1672626600000, '0.521', '0.523', '0.521', '0.523', '491760.3', 1672627499999, '256711.5621', 676, '389348.1', '203344.9577', '0']","[1680906600000, '0.6140000', '0.6180000', '0.6125000', '0.6179000', '211207', 1680907499999, '129855.8655000', 1389, '98012', '60299.7525000', '0']"
"[1672627500000, '0.523', '0.525', '0.522', '0.523', '743055.5', 1672628399999, '389129.4820', 770, '362601.5', '189872.6956', '0']","[1680907500000, '0.6179000', '0.6191000', '0.6158000', '0.6165000', '292645', 1680908399999, '180680.9263000', 1321, '109705', '67774.8035000', '0']"
"[1672628400000, '0.524', '0.525', '0.523', '0.524', '604317.6', 1672629299999, '316779.7132', 640, '366686.5', '192275.1795', '0']","[1680908400000, '0.6166000', '0.6178000', '0.6151000', '0.6160000', '205430', 1680909299999, '126640.5577000', 1080, '66951', '41283.9278000', '0']"
"[1672629300000, '0.524', '0.524', '0.522', '0.523', '244879.2', 1672630199999, '128107.3161', 396, '50752.3', '26584.2589', '0']","[1680909300000, '0.6160000', '0.6164000', '0.6133000', '0.6140000', '199868', 1680910199999, '122857.8710000', 1021, '80272', '49369.4837000', '0']"
"[1672630200000, '0.523', '0.524', '0.522', '0.524', '361905.3', 1672631099999, '189320.8459', 288, '256273.9', '134078.4157', '0']","[1680910200000, '0.6142000', '0.6175000', '0.6136000', '0.6166000', '233581', 1680911099999, '143859.0556000', 1035, '139747', '86084.1488000', '0']"
"[1672631100000, '0.524', '0.527', '0.523', '0.526', '2650845.4', 1672631999999, '1392181.9721', 1401, '1377989.2', '723682.2711', '0']","[1680911100000, '0.6160000', '0.6176000', '0.6156000', '0.6170000', '128347', 1680911999999, '79121.2536000', 614, '73343', '45223.4436000', '0']"
"[1672632000000, '0.525', '0.526', '0.524', '0.524', '489837.4', 1672632899999, '257166.8769', 629, '104834.2', '55103.3982', '0']","[1680912000000, '0.6168000', '0.6168000', '0.6082000', '0.6087000', '842346', 1680912899999, '515201.0965000', 2670, '351377', '214907.5946000', '0']"
"[1672632900000, '0.524', '0.525', '0.523', '0.524', '765565.8', 1672633799999, '401131.0769', 564, '384511.3', '201506.0289', '0']","[1680912900000, '0.6088000', '0.6106000', '0.6081000', '0.6097000', '267616', 1680913799999, '163068.9793000', 1503, '139252', '84890.0210000', '0']"
"[1672633800000, '0.525', '0.525', '0.523', '0.525', '675219.3', 1672634699999, '353829.0552', 534, '354328.0', '185691.9421', '0']","[1680913800000, '0.6099000', '0.6120000', '0.6086000', '0.6096000', '246608', 1680914699999, '150630.8404000', 1038, '116481', '71168.5488000', '0']"
"[1672634700000, '0.525', '0.525', '0.523', '0.524', '362836.3', 1672635599999, '190121.0403', 301, '79557.9', '41739.1157', '0']","[1680914700000, '0.6096000', '0.6098000', '0.6040000', '0.6077000', '594768', 1680915599999, '361254.1077000', 1819, '200871', '122156.8054000', '0']"
"[1672635600000, '0.524', '0.524', '0.523', '0.523', '100191.5', 1672636499999, '52454.2262', 468, '54071.7', '28333.5708', '0']","[1680915600000, '0.6077000', '0.6083000', '0.6056000', '0.6072000', '211536', 1680916499999, '128427.1893000', 847, '95217', '57817.4720000', '0']"
"[1672636500000, '0.523', '0.524', '0.522', '0.522', '1247866.7', 1672637399999, '651691.9899', 765, '393528.0', '205493.1859', '0']","[1680916500000, '0.6072000', '0.6079000', '0.6016000', '0.6040000', '534579', 1680917399999, '322885.4479000', 2361, '177454', '107190.6228000', '0']"
"[1672637400000, '0.522', '0.524', '0.521', '0.524', '999026.3', 1672638299999, '521949.4106', 662, '744059.2', '388830.7337', '0']","[1680917400000, '0.6044000', '0.6075000', '0.6032000', '0.6066000', '268690', 1680918299999, '162725.3709000', 1047, '161635', '97916.7742000', '0']"
"[1672638300000, '0.524', '0.525', '0.523', '0.524', '932715.2', 1672639199999, '488600.9713', 700, '435808.9', '228367.9863', '0']","[1680918300000, '0.6064000', '0.6070000', '0.6048000', '0.6060000', '124638', 1680919199999, '75507.0039000', 702, '45092', '27329.8532000', '0']"
"[1672639200000, '0.524', '0.525', '0.523', '0.524', '1296879.2', 1672640099999, '679560.5117', 914, '603041.9', '316028.2833', '0']","[1680919200000, '0.6060000', '0.6078000', '0.6046000', '0.6076000', '172854', 1680920099999, '104751.0381000', 748, '88224', '53483.5955000', '0']"
"[1672640100000, '0.523', '0.525', '0.523', '0.524', '409664.4', 1672640999999, '214657.2559', 317, '226397.8', '118646.8198', '0']","[1680920100000, '0.6074000', '0.6105000', '0.6059000', '0.6099000', '172948', 1680920999999, '105255.1778000', 746, '108769', '66257.3707000', '0']"
"[1672641000000, '0.524', '0.524', '0.521', '0.523', '1709522.3', 1672641899999, '892632.4189', 957, '833601.9', '435181.8609', '0']","[1680921000000, '0.6102000', '0.6120000', '0.6089000', '0.6093000', '160155', 1680921899999, '97795.0048000', 819, '90358', '55198.6957000', '0']"
"[1672641900000, '0.522', '0.523', '0.522', '0.522', '690424.8', 1672642799999, '360764.7902', 465, '242302.3', '126724.1029', '0']","[1680921900000, '0.6093000', '0.6131000', '0.6084000', '0.6124000', '238936', 1680922799999, '145987.7668000', 1036, '145231', '88758.0999000', '0']"
"[1672642800000, '0.522', '0.527', '0.521', '0.527', '3500406.0', 1672643699999, '1834545.2546', 1975, '1964384.8', '1029380.1487', '0']","[1680922800000, '0.6124000', '0.6148000', '0.6123000', '0.6135000', '203966', 1680923699999, '125238.1074000', 914, '94637', '58109.3108000', '0']"
"[1672643700000, '0.527', '0.530', '0.523', '0.527', '10210849.5', 1672644599999, '5373349.3603', 4655, '5368712.9', '2825639.8323', '0']","[1680923700000, '0.6135000', '0.6157000', '0.6135000', '0.6154000', '116317', 1680924599999, '71480.6234000', 622, '70760', '43495.3901000', '0']"
"[1672644600000, '0.527', '0.529', '0.525', '0.528', '3300012.8', 1672645499999, '1739370.9760', 1791, '1861773.3', '981400.7785', '0']","[1680924600000, '0.6155000', '0.6183000', '0.6144000', '0.6171000', '252025', 1680925499999, '155274.4072000', 1184, '123871', '76371.1522000', '0']"
"[1672645500000, '0.528', '0.535', '0.527', '0.531', '7343082.7', 1672646399999, '3902134.3596', 5707, '4113908.2', '2187363.6189', '0']","[1680925500000, '0.6171000', '0.6172000', '0.6148000', '0.6155000', '134667', 1680926399999, '82928.4165000', 540, '39281', '24199.7353000', '0']"
"[1672646400000, '0.531', '0.535', '0.531', '0.534', '3581534.0', 1672647299999, '1909655.8547', 2668, '2096716.9', '1117914.8222', '0']","[1680926400000, '0.6155000', '0.6201000', '0.6155000', '0.6196000', '553951', 1680927299999, '342569.1769000', 1853, '265353', '164120.5360000', '0']"
"[1672647300000, '0.534', '0.535', '0.531', '0.534', '3217515.4', 1672648199999, '1714896.2796', 1794, '1662433.7', '886185.2997', '0']","[1680927300000, '0.6196000', '0.6199000', '0.6175000', '0.6182000', '162164', 1680928199999, '100363.8048000', 859, '68584', '42463.3304000', '0']"
"[1672648200000, '0.535', '0.538', '0.534', '0.535', '2081793.0', 1672649099999, '1115510.6840', 2394, '1325132.0', '710257.8825', '0']","[1680928200000, '0.6183000', '0.6189000', '0.6142000', '0.6153000', '272158', 1680929099999, '167835.8936000', 1426, '79957', '49365.2385000', '0']"
"[1672649100000, '0.534', '0.541', '0.534', '0.537', '5611906.6', 1672649999999, '3014648.9701', 3602, '3122649.6', '1677734.8548', '0']","[1680929100000, '0.6157000', '0.6178000', '0.6156000', '0.6159000', '111370', 1680929999999, '68679.6418000', 489, '56466', '34815.8135000', '0']"
"[1672650000000, '0.537', '0.542', '0.536', '0.536', '3560187.3', 1672650899999, '1921405.0004', 2744, '1715606.4', '926108.8287', '0']","[1680930000000, '0.6161000', '0.6196000', '0.6155000', '0.6196000', '88198', 1680930899999, '54456.0753000', 416, '55889', '34523.0843000', '0']"
"[1672650900000, '0.537', '0.537', '0.534', '0.534', '1854998.1', 1672651799999, '993793.6679', 1434, '696759.8', '373464.8312', '0']","[1680930900000, '0.6196000', '0.6200000', '0.6173000', '0.6185000', '95417', 1680931799999, '59021.4732000', 452, '37729', '23350.8122000', '0']"
"[1672651800000, '0.534', '0.538', '0.534', '0.535', '1022258.5', 1672652699999, '548288.4006', 1080, '546809.5', '293194.8936', '0']","[1680931800000, '0.6185000', '0.6221000', '0.6185000', '0.6204000', '250463', 1680932699999, '155499.4742000', 748, '120607', '74894.0496000', '0']"
"[1672652700000, '0.536', '0.536', '0.534', '0.535', '656187.0', 1672653599999, '351071.0468', 667, '294818.9', '157778.7069', '0']","[1680932700000, '0.6204000', '0.6232000', '0.6202000', '0.6212000', '149845', 1680933599999, '93115.6472000', 653, '85284', '53004.9125000', '0']"
"[1672653600000, '0.535', '0.539', '0.533', '0.536', '3117861.3', 1672654499999, '1670592.9544', 2181, '1610696.3', '863023.3605', '0']","[1680933600000, '0.6216000', '0.6279000', '0.6214000', '0.6245000', '575927', 1680934499999, '360234.0200000', 1879, '314029', '196415.1297000', '0']"
"[1672654500000, '0.535', '0.536', '0.534', '0.535', '537163.5', 1672655399999, '287471.6950', 691, '333888.0', '178720.5164', '0']","[1680934500000, '0.6244000', '0.6244000', '0.6210000', '0.6212000', '190538', 1680935399999, '118584.1608000', 778, '71837', '44722.5147000', '0']"
"[1672655400000, '0.536', '0.537', '0.535', '0.536', '858998.9', 1672656299999, '460303.1092', 633, '360724.7', '193355.6470', '0']","[1680935400000, '0.6214000', '0.6232000', '0.6202000', '0.6211000', '165520', 1680936299999, '102907.7917000', 756, '66977', '41670.2184000', '0']"
"[1672656300000, '0.536', '0.538', '0.535', '0.536', '783413.5', 1672657199999, '420408.6328', 775, '481132.4', '258146.2745', '0']","[1680936300000, '0.6213000', '0.6247000', '0.6192000', '0.6210000', '280865', 1680937199999, '174493.2631000', 1032, '112937', '70237.0406000', '0']"
"[1672657200000, '0.537', '0.539', '0.536', '0.538', '638389.9', 1672658099999, '343249.0065', 684, '541605.5', '291291.8875', '0']","[1680937200000, '0.6210000', '0.6217000', '0.6175000', '0.6188000', '189040', 1680938099999, '117098.8054000', 697, '51085', '31661.3995000', '0']"
"[1672658100000, '0.539', '0.539', '0.535', '0.537', '1033908.6', 1672658999999, '555200.2711', 967, '387872.2', '208113.5525', '0']","[1680938100000, '0.6188000', '0.6192000', '0.6125000', '0.6155000', '390834', 1680938999999, '240790.8424000', 1508, '111160', '68527.3649000', '0']"
"[1672659000000, '0.536', '0.538', '0.535', '0.537', '1358195.4', 1672659899999, '728210.3153', 1077, '689829.8', '369983.8553', '0']","[1680939000000, '0.6155000', '0.6189000', '0.6153000', '0.6176000', '320475', 1680939899999, '197721.1292000', 1219, '172555', '106496.3712000', '0']"
"[1672659900000, '0.538', '0.539', '0.537', '0.538', '380161.9', 1672660799999, '204511.8158', 421, '294544.4', '158508.2063', '0']","[1680939900000, '0.6170000', '0.6176000', '0.6152000', '0.6167000', '134260', 1680940799999, '82744.1766000', 523, '44973', '27729.1974000', '0']"
"[1672660800000, '0.539', '0.541', '0.537', '0.539', '1557759.8', 1672661699999, '839841.3299', 1271, '699636.8', '377203.1610', '0']","[1680940800000, '0.6167000', '0.6218000', '0.6161000', '0.6193000', '370154', 1680941699999, '229390.7814000', 1246, '210100', '130169.3628000', '0']"
"[1672661700000, '0.540', '0.541', '0.538', '0.539', '1531150.9', 1672662599999, '826991.1114', 931, '757000.1', '408954.0371', '0']","[1680941700000, '0.6193000', '0.6212000', '0.6181000', '0.6186000', '121826', 1680942599999, '75473.1361000', 473, '49893', '30917.1344000', '0']"
"[1672662600000, '0.540', '0.540', '0.539', '0.539', '182794.6', 1672663499999, '98584.5532', 267, '58263.8', '31462.4520', '0']","[1680942600000, '0.6187000', '0.6198000', '0.6158000', '0.6171000', '157978', 1680943499999, '97561.5167000', 744, '41147', '25430.1343000', '0']"
"[1672663500000, '0.540', '0.540', '0.538', '0.538', '524428.2', 1672664399999, '282416.4069', 622, '176328.0', '95006.1988', '0']","[1680943500000, '0.6171000', '0.6171000', '0.6115000', '0.6128000', '266415', 1680944399999, '163699.2443000', 1026, '60888', '37438.6322000', '0']"
"[1672664400000, '0.539', '0.541', '0.537', '0.539', '1168468.1', 1672665299999, '629590.4321', 1080, '723480.9', '389773.4637', '0']","[1680944400000, '0.6130000', '0.6153000', '0.6123000', '0.6145000', '139644', 1680945299999, '85724.3742000', 467, '58773', '36089.5941000', '0']"
"[1672665300000, '0.539', '0.541', '0.537', '0.539', '2342686.0', 1672666199999, '1262394.1915', 1227, '1104901.0', '595709.1573', '0']","[1680945300000, '0.6143000', '0.6163000', '0.6134000', '0.6141000', '142728', 1680946199999, '87775.0646000', 592, '70914', '43625.3132000', '0']"
"[1672666200000, '0.539', '0.540', '0.535', '0.537', '2071198.9', 1672667099999, '1112549.5472', 1346, '804453.9', '431960.1944', '0']","[1680946200000, '0.6147000', '0.6162000', '0.6137000', '0.6162000', '125572', 1680947099999, '77220.1722000', 613, '49785', '30625.7028000', '0']"
"[1672667100000, '0.536', '0.538', '0.536', '0.537', '349299.9', 1672667999999, '187630.9555', 468, '280639.7', '150775.9504', '0']","[1680947100000, '0.6160000', '0.6160000', '0.6140000', '0.6159000', '188784', 1680947999999, '116197.5273000', 630, '67642', '41636.9710000', '0']"
"[1672668000000, '0.538', '0.539', '0.537', '0.538', '743358.1', 1672668899999, '399841.6885', 586, '421865.9', '226984.7064', '0']","[1680948000000, '0.6155000', '0.6157000', '0.6140000', '0.6150000', '133506', 1680948899999, '82079.1824000', 498, '71056', '43693.8833000', '0']"
"[1672668900000, '0.538', '0.540', '0.537', '0.538', '1369838.0', 1672669799999, '737669.1201', 813, '522647.9', '281589.6030', '0']","[1680948900000, '0.6150000', '0.6155000', '0.6130000', '0.6142000', '82048', 1680949799999, '50400.5863000', 323, '28854', '17730.5445000', '0']"
"[1672669800000, '0.538', '0.541', '0.536', '0.540', '1553547.4', 1672670699999, '835236.6093', 1242, '1026664.1', '552299.5631', '0']","[1680949800000, '0.6142000', '0.6148000', '0.6134000', '0.6140000', '51379', 1680950699999, '31544.1761000', 204, '18249', '11204.2484000', '0']"
"[1672670700000, '0.540', '0.545', '0.539', '0.544', '2148434.7', 1672671599999, '1164424.6135', 1918, '1385854.9', '751160.9081', '0']","[1680950700000, '0.6137000', '0.6146000', '0.6133000', '0.6143000', '55210', 1680951599999, '33896.9215000', 220, '27571', '16927.2396000', '0']"
"[1672671600000, '0.543', '0.547', '0.540', '0.546', '4133749.8', 1672672499999, '2245633.9042', 3134, '2485549.3', '1350844.8487', '0']","[1680951600000, '0.6143000', '0.6154000', '0.6125000', '0.6146000', '81919', 1680952499999, '50265.1344000', 370, '29025', '17825.6416000', '0']"
"[1672672500000, '0.545', '0.547', '0.544', '0.547', '1800916.9', 1672673399999, '982537.1162', 1774, '814018.3', '444463.4884', '0']","[1680952500000, '0.6148000', '0.6162000', '0.6147000', '0.6152000', '81327', 1680953399999, '50061.0560000', 460, '53811', '33131.7782000', '0']"
"[1672673400000, '0.546', '0.549', '0.545', '0.547', '2627413.9', 1672674299999, '1438224.8693', 2374, '1440338.3', '788709.9222', '0']","[1680953400000, '0.6155000', '0.6171000', '0.6140000', '0.6156000', '118578', 1680954299999, '73000.6102000', 510, '40115', '24706.9453000', '0']"
"[1672674300000, '0.548', '0.548', '0.543', '0.544', '1532150.9', 1672675199999, '835361.0939', 1439, '434796.1', '237077.7954', '0']","[1680954300000, '0.6156000', '0.6162000', '0.6140000', '0.6146000', '67089', 1680955199999, '41273.5767000', 361, '17838', '10977.3004000', '0']"
"[1672675200000, '0.544', '0.548', '0.543', '0.547', '2128676.2', 1672676099999, '1159948.6004', 1712, '1416605.0', '772111.6517', '0']","[1680955200000, '0.6144000', '0.6206000', '0.6138000', '0.6164000', '588241', 1680956099999, '363032.8223000', 2128, '231752', '143067.0126000', '0']"
"[1672676100000, '0.548', '0.548', '0.545', '0.546', '1905148.7', 1672676999999, '1041104.2789', 1423, '999193.0', '546146.6581', '0']","[1680956100000, '0.6166000', '0.6166000', '0.6148000', '0.6157000', '80371', 1680956999999, '49482.3920000', 367, '31296', '19270.3607000', '0']"
