CRVUSDT,HFTUSDT
"[1672522200000, '0.525', '0.526', '0.523', '0.523', '1173214.2', 1672523099999, '614839.8933', 1174, '504823.3', '264604.9376', '0']","[1680802200000, '0.6668000', '0.6689000', '0.6531000', '0.6536000', '538493', 1680803099999, '355580.4115000', 2484, '201130', '132992.2493000', '0']"
"[1672523100000, '0.523', '0.525', '0.523', '0.524', '423619.2', 1672523999999, '222019.8053', 668, '220668.8', '115677.9833', '0']","[1680803100000, '0.6539000', '0.6566000', '0.6485000', '0.6496000', '307391', 1680803999999, '200648.0887000', 2035, '139474', '91101.1182000', '0']"
"[1672524000000, '0.524', '0.526', '0.524', '0.526', '449085.6', 1672524899999, '235805.8642', 701, '383772.6', '201556.2422', '0']","[1680804000000, '0.6495000', '0.6522000', '0.6453000', '0.6489000', '351172', 1680804899999, '227903.3668000', 2033, '164065', '106586.2571000', '0']"
"[1672524900000, '0.526', '0.526', '0.523', '0.524', '757906.3', 1672525799999, '397516.5576', 766, '297289.5', '155878.9342', '0']","[1680804900000, '0.6489000', '0.6555000', '0.6487000', '0.6542000', '188940', 1680805799999, '123287.0759000', 1285, '108642', '70918.1931000', '0']"
"[1672525800000, '0.525', '0.526', '0.524', '0.525', '853750.4', 1672526699999, '448381.6825', 872, '509712.4', '267882.2087', '0']","[1680805800000, '0.6542000', '0.6567000', '0.6482000', '0.6498000', '214317', 1680806699999, '139887.4592000', 1927, '69783', '45606.8815000', '0']"
"[1672526700000, '0.525', '0.526', '0.523', '0.524', '762636.2', 1672527599999, '399921.2464', 845, '271968.8', '142571.7280', '0']","[1680806700000, '0.6498000', '0.6541000', '0.6479000', '0.6486000', '156077', 1680807599999, '101447.3346000', 1565, '72543', '47173.1800000', '0']"
"[1672527600000, '0.525', '0.526', '0.523', '0.525', '1922600.2', 1672528499999, '1007481.0880', 1117, '852733.7', '446997.5165', '0']","[1680807600000, '0.6486000', '0.6581000', '0.6484000', '0.6581000', '194396', 1680808499999, '127048.9153000', 1789, '112001', '73164.6386000', '0']"
"[1672528500000, '0.524', '0.526', '0.523', '0.526', '600506.3', 1672529399999, '314906.7961', 627, '408108.0', '214104.4019', '0']","[1680808500000, '0.6581000', '0.6633000', '0.6542000', '0.6616000', '242529', 1680809399999, '159813.3925000', 2354, '131339', '86623.0406000', '0']"
"[1672529400000, '0.526', '0.527', '0.525', '0.526', '586050.6', 1672530299999, '308352.6802', 666, '298095.2', '156902.2921', '0']","[1680809400000, '0.6616000', '0.6645000', '0.6565000', '0.6590000', '274454', 1680810299999, '181325.2908000', 2325, '109587', '72435.5677000', '0']"
"[1672530300000, '0.527', '0.527', '0.524', '0.524', '563741.2', 1672531199999, '296012.8027', 685, '125389.5', '65866.1629', '0']","[1680810300000, '0.6589000', '0.6603000', '0.6565000', '0.6570000', '110465', 1680811199999, '72722.2068000', 1466, '53511', '35249.8221000', '0']"
"[1672531200000, '0.525', '0.527', '0.524', '0.526', '1553841.0', 1672532099999, '816299.1621', 1346, '905586.1', '475837.4485', '0']","[1680811200000, '0.6567000', '0.6815000', '0.6566000', '0.6779000', '1062722', 1680812099999, '715951.3036000', 5703, '574175', '386395.6747000', '0']"
"[1672532100000, '0.526', '0.528', '0.525', '0.528', '554020.9', 1672532999999, '291474.3852', 865, '429297.7', '225970.3061', '0']","[1680812100000, '0.6779000', '0.6788000', '0.6648000', '0.6716000', '653558', 1680812999999, '438823.2007000', 3675, '279480', '187700.3195000', '0']"
"[1672533000000, '0.528', '0.528', '0.524', '0.524', '1320155.6', 1672533899999, '694274.1104', 983, '378018.1', '198585.0737', '0']","[1680813000000, '0.6716000', '0.6720000', '0.6624000', '0.6638000', '399710', 1680813899999, '266219.7589000', 2893, '157424', '104881.3658000', '0']"
"[1672533900000, '0.525', '0.526', '0.523', '0.524', '612697.6', 1672534799999, '321295.2596', 780, '229384.2', '120373.7662', '0']","[1680813900000, '0.6638000', '0.6654000', '0.6582000', '0.6639000', '279617', 1680814799999, '185070.5990000', 1884, '148721', '98466.0259000', '0']"
"[1672534800000, '0.523', '0.524', '0.522', '0.524', '683414.1', 1672535699999, '357578.7948', 1258, '453304.1', '237290.4352', '0']","[1680814800000, '0.6638000', '0.6639000', '0.6590000', '0.6613000', '124051', 1680815699999, '82003.2453000', 1290, '63367', '41911.8917000', '0']"
"[1672535700000, '0.524', '0.525', '0.523', '0.524', '776812.4', 1672536599999, '407112.6389', 625, '435436.5', '228259.9755', '0']","[1680815700000, '0.6615000', '0.6818000', '0.6603000', '0.6769000', '936008', 1680816599999, '632412.5036000', 4614, '470618', '317751.5459000', '0']"
"[1672536600000, '0.525', '0.526', '0.524', '0.524', '522840.3', 1672537499999, '274499.1006', 574, '281685.2', '147922.5381', '0']","[1680816600000, '0.6776000', '0.6776000', '0.6668000', '0.6698000', '626200', 1680817499999, '420171.0240000', 3661, '246007', '165086.2268000', '0']"
"[1672537500000, '0.525', '0.528', '0.524', '0.527', '836491.6', 1672538399999, '440106.8586', 887, '579757.3', '304918.0358', '0']","[1680817500000, '0.6699000', '0.6742000', '0.6661000', '0.6686000', '403837', 1680818399999, '270790.6891000', 2897, '210936', '141485.8388000', '0']"
"[1672538400000, '0.526', '0.527', '0.523', '0.526', '1110444.7', 1672539299999, '582571.6749', 1117, '542042.9', '284299.0659', '0']","[1680818400000, '0.6690000', '0.6754000', '0.6684000', '0.6711000', '245855', 1680819299999, '165369.0151000', 1407, '138071', '92874.5070000', '0']"
"[1672539300000, '0.526', '0.529', '0.525', '0.529', '720628.6', 1672540199999, '379878.4972', 1064, '606839.3', '319971.2233', '0']","[1680819300000, '0.6714000', '0.6773000', '0.6704000', '0.6748000', '337265', 1680820199999, '227488.3238000', 1304, '187332', '126351.9825000', '0']"
"[1672540200000, '0.529', '0.529', '0.527', '0.528', '972912.6', 1672541099999, '513809.8592', 792, '396683.3', '209575.6020', '0']","[1680820200000, '0.6749000', '0.6751000', '0.6606000', '0.6666000', '492930', 1680821099999, '328815.5674000', 2720, '202487', '135094.5069000', '0']"
"[1672541100000, '0.528', '0.528', '0.525', '0.527', '494017.6', 1672541999999, '260104.6302', 674, '155852.8', '82078.4352', '0']","[1680821100000, '0.6663000', '0.6673000', '0.6636000', '0.6646000', '145225', 1680821999999, '96624.2698000', 1703, '58781', '39134.9321000', '0']"
"[1672542000000, '0.526', '0.527', '0.524', '0.526', '1674226.9', 1672542899999, '879205.4369', 1095, '789884.9', '414833.4794', '0']","[1680822000000, '0.6646000', '0.6698000', '0.6646000', '0.6677000', '212872', 1680822899999, '142071.1023000', 1698, '107716', '71905.3846000', '0']"
"[1672542900000, '0.526', '0.526', '0.523', '0.523', '1776925.3', 1672543799999, '931090.5423', 1376, '737407.7', '386473.8736', '0']","[1680822900000, '0.6677000', '0.6677000', '0.6628000', '0.6635000', '206420', 1680823799999, '137280.2151000', 1839, '63123', '42017.3209000', '0']"
"[1672543800000, '0.524', '0.525', '0.523', '0.524', '301585.0', 1672544699999, '158100.3161', 477, '264230.1', '138531.4861', '0']","[1680823800000, '0.6636000', '0.6689000', '0.6625000', '0.6633000', '228306', 1680824699999, '151980.4629000', 1691, '91803', '61157.9343000', '0']"
"[1672544700000, '0.525', '0.526', '0.524', '0.526', '484185.4', 1672545599999, '254225.9962', 483, '300808.4', '157962.6822', '0']","[1680824700000, '0.6633000', '0.6651000', '0.6610000', '0.6610000', '188400', 1680825599999, '124747.1955000', 1472, '44220', '29331.4143000', '0']"
"[1672545600000, '0.526', '0.526', '0.524', '0.525', '312521.1', 1672546499999, '164097.1437', 552, '150878.9', '79259.2323', '0']","[1680825600000, '0.6610000', '0.6642000', '0.6545000', '0.6563000', '497260', 1680826499999, '328160.2808000', 3097, '162698', '107511.5458000', '0']"
"[1672546500000, '0.525', '0.526', '0.523', '0.525', '1001886.3', 1672547399999, '525496.0100', 927, '564822.1', '296250.1896', '0']","[1680826500000, '0.6563000', '0.6572000', '0.6500000', '0.6547000', '373112', 1680827399999, '244022.9424000', 1940, '159640', '104508.6472000', '0']"
"[1672547400000, '0.525', '0.525', '0.523', '0.523', '350961.7', 1672548299999, '183977.2866', 555, '83180.1', '43664.3837', '0']","[1680827400000, '0.6547000', '0.6616000', '0.6533000', '0.6598000', '289100', 1680828299999, '190530.9181000', 1709, '200421', '132135.6099000', '0']"
"[1672548300000, '0.523', '0.527', '0.523', '0.524', '2574040.4', 1672549199999, '1350567.2698', 1536, '1428780.6', '749744.0844', '0']","[1680828300000, '0.6597000', '0.6684000', '0.6595000', '0.6657000', '262097', 1680829199999, '174276.2687000', 2131, '162566', '108059.8867000', '0']"
"[1672549200000, '0.524', '0.527', '0.524', '0.527', '456700.4', 1672550099999, '240114.2062', 838, '382724.7', '201217.7250', '0']","[1680829200000, '0.6656000', '0.6659000', '0.6617000', '0.6634000', '153486', 1680830099999, '101905.0529000', 1632, '39607', '26308.8203000', '0']"
"[1672550100000, '0.526', '0.528', '0.526', '0.527', '386659.6', 1672550999999, '203838.5816', 499, '316425.6', '166862.4741', '0']","[1680830100000, '0.6635000', '0.6642000', '0.6608000', '0.6627000', '120919', 1680830999999, '80120.0990000', 1655, '56141', '37209.9530000', '0']"
"[1672551000000, '0.528', '0.528', '0.525', '0.526', '962966.8', 1672551899999, '507054.6387', 861, '287402.6', '151402.4706', '0']","[1680831000000, '0.6622000', '0.6629000', '0.6557000', '0.6577000', '192134', 1680831899999, '126495.0619000', 1075, '59887', '39404.9249000', '0']"
"[1672551900000, '0.526', '0.526', '0.524', '0.525', '621702.0', 1672552799999, '326292.6930', 740, '261079.4', '137106.1187', '0']","[1680831900000, '0.6575000', '0.6578000', '0.6500000', '0.6505000', '335054', 1680832799999, '218754.9114000', 1295, '127468', '83199.6130000', '0']"
"[1672552800000, '0.525', '0.526', '0.524', '0.525', '649515.2', 1672553699999, '341063.4095', 723, '245570.2', '129021.3275', '0']","[1680832800000, '0.6505000', '0.6535000', '0.6462000', '0.6524000', '504686', 1680833699999, '328034.0929000', 2237, '267375', '173891.8222000', '0']"
"[1672553700000, '0.524', '0.525', '0.523', '0.524', '710364.4', 1672554599999, '372182.9524', 834, '368498.3', '193144.5474', '0']","[1680833700000, '0.6524000', '0.6524000', '0.6475000', '0.6483000', '207299', 1680834599999, '134630.9693000', 897, '73225', '47558.7080000', '0']"
"[1672554600000, '0.524', '0.525', '0.523', '0.523', '749807.8', 1672555499999, '392558.1152', 590, '301177.7', '157671.2061', '0']","[1680834600000, '0.6484000', '0.6484000', '0.6419000', '0.6419000', '403432', 1680835499999, '259938.8628000', 1410, '166950', '107573.3918000', '0']"
"[1672555500000, '0.524', '0.525', '0.523', '0.525', '326837.2', 1672556399999, '171242.7807', 546, '258345.1', '135390.2825', '0']","[1680835500000, '0.6420000', '0.6446000', '0.6402000', '0.6422000', '257609', 1680836399999, '165452.3110000', 949, '105389', '67700.5263000', '0']"
"[1672556400000, '0.525', '0.526', '0.524', '0.525', '414315.4', 1672557299999, '217467.7634', 898, '197552.9', '103716.2660', '0']","[1680836400000, '0.6422000', '0.6426000', '0.6386000', '0.6422000', '389932', 1680837299999, '249683.5870000', 1163, '203562', '130350.0195000', '0']"
"[1672557300000, '0.525', '0.528', '0.523', '0.527', '1620543.6', 1672558199999, '851320.3462', 1294, '1086242.1', '570953.8627', '0']","[1680837300000, '0.6421000', '0.6422000', '0.6318000', '0.6349000', '515457', 1680838199999, '328389.3816000', 2132, '173719', '110787.2170000', '0']"
"[1672558200000, '0.528', '0.528', '0.526', '0.528', '2523645.0', 1672559099999, '1330051.6498', 1181, '1098659.1', '579095.3754', '0']","[1680838200000, '0.6351000', '0.6417000', '0.6351000', '0.6413000', '271404', 1680839099999, '173367.7300000', 1131, '171597', '109632.8506000', '0']"
"[1672559100000, '0.528', '0.528', '0.526', '0.526', '1216239.2', 1672559999999, '640964.7161', 844, '630376.9', '332244.7938', '0']","[1680839100000, '0.6412000', '0.6441000', '0.6409000', '0.6429000', '180293', 1680839999999, '115842.8557000', 777, '136349', '87616.8138000', '0']"
"[1672560000000, '0.527', '0.527', '0.525', '0.525', '822799.2', 1672560899999, '432796.7614', 678, '259655.1', '136656.1791', '0']","[1680840000000, '0.6430000', '0.6430000', '0.6381000', '0.6385000', '442792', 1680840899999, '283019.5647000', 1285, '210502', '134470.0630000', '0']"
"[1672560900000, '0.526', '0.527', '0.525', '0.527', '425801.7', 1672561799999, '224038.2110', 429, '387405.3', '203847.7511', '0']","[1680840900000, '0.6384000', '0.6423000', '0.6384000', '0.6398000', '183068', 1680841799999, '117247.5206000', 807, '77980', '49968.1552000', '0']"
"[1672561800000, '0.527', '0.528', '0.526', '0.528', '314148.6', 1672562699999, '165601.2145', 1011, '251709.6', '132711.0318', '0']","[1680841800000, '0.6399000', '0.6421000', '0.6392000', '0.6420000', '82596', 1680842699999, '52899.6801000', 329, '42659', '27332.1376000', '0']"
"[1672562700000, '0.528', '0.528', '0.525', '0.526', '781567.2', 1672563599999, '411544.6539', 701, '343853.6', '181082.6534', '0']","[1680842700000, '0.6420000', '0.6428000', '0.6396000', '0.6397000', '178929', 1680843599999, '114788.2387000', 905, '98749', '63362.8499000', '0']"
"[1672563600000, '0.527', '0.527', '0.525', '0.526', '493897.0', 1672564499999, '259770.5477', 601, '291828.9', '153552.8485', '0']","[1680843600000, '0.6397000', '0.6435000', '0.6396000', '0.6396000', '159570', 1680844499999, '102385.1729000', 712, '89303', '57311.7595000', '0']"
"[1672564500000, '0.526', '0.528', '0.526', '0.527', '542904.6', 1672565399999, '286067.0149', 513, '193851.5', '102171.9215', '0']","[1680844500000, '0.6396000', '0.6396000', '0.6321000', '0.6326000', '282491', 1680845399999, '179610.6562000', 1140, '78919', '50192.0222000', '0']"
"[1672565400000, '0.526', '0.528', '0.526', '0.528', '765623.0', 1672566299999, '403409.1791', 425, '469343.3', '247344.2905', '0']","[1680845400000, '0.6326000', '0.6327000', '0.6270000', '0.6310000', '476503', 1680846299999, '300074.2749000', 1948, '175748', '110695.7129000', '0']"
"[1672566300000, '0.527', '0.528', '0.526', '0.526', '581704.8', 1672567199999, '306529.3741', 305, '233425.4', '123016.3497', '0']","[1680846300000, '0.6310000', '0.6312000', '0.6275000', '0.6291000', '207155', 1680847199999, '130408.6269000', 1046, '85741', '54005.4713000', '0']"
"[1672567200000, '0.527', '0.527', '0.525', '0.525', '396422.5', 1672568099999, '208416.9846', 461, '70518.3', '37124.4099', '0']","[1680847200000, '0.6291000', '0.6309000', '0.6280000', '0.6282000', '343495', 1680848099999, '216107.0908000', 1017, '187804', '118155.1458000', '0']"
